T,X,Y,Z,Label,Perimeter,Volume,Intensity,ExtentX,ExtentY,ExtentZ
0,200,261,6,1,166.72354900620542,78260,45600,86,91,10
0,396,164,6,256,166.76614572471863,78320,43416,89,88,10
0,389,374,5,511,155.24234909811102,63180,36385,78,81,10
0,570,277,7,640,140.48019456897524,46816,28193,76,77,8
1,201,236,6,1,170.473267454496,83660,48838,89,94,10
1,403,174,5,256,174.08380072847567,89089,47870,89,91,11
1,374,392,6,511,159.77716514803328,68880,39079,84,82,10
1,565,263,7,640,142.91820695110906,49296,29092,78,79,8
2,211,243,6,1,129.63873883911347,36792,18487,72,73,7
2,406,187,7,256,126.60868020642252,34272,15086,68,72,7
2,357,396,6,511,157.30822230398755,65736,40214,88,83,9
2,560,261,6,640,143.49570719157714,49896,31052,77,81,8
3,218,243,5,1,119.91700930662174,29120,15297,65,64,7
3,397,207,5,256,114.17950265583579,25137,15299,57,63,7
3,372,394,6,511,159.1600789332648,68085,42016,89,85,9
3,563,256,6,640,151.13955863237814,58302,35620,79,82,9
4,207,256,3,2,100.0180306076043,16896,7350,44,48,8
4,224,240,8,129,79.24944653307233,8405,4363,41,41,5
4,388,206,3,257,94.9948052509811,14476,6657,47,44,7
4,403,197,8,384,78.56786753989927,8190,4545,39,42,5
4,393,397,6,511,162.22159746384776,72090,40889,89,90,9
4,546,248,4,640,164.2776727997739,74866,39678,83,82,11
5,191,270,4,2,101.1824281543892,17493,9234,49,51,7
5,220,205,8,129,93.42468567320351,13770,6420,54,51,5
5,397,220,1,257,99.23045437643665,16500,8918,50,55,6
5,426,183,8,384,89.8278085121883,12240,6585,48,51,5
5,388,375,8,511,143.90388090515398,50323,22612,79,91,7
5,546,294,5,640,163.58280516597281,73920,39463,84,80,11
6,190,282,5,2,117.47361388510434,27376,14969,58,59,8
6,233,201,7,129,112.35946957688978,23954,13127,58,59,7
6,397,238,1,257,99.27053130097828,16520,10148,56,59,5
6,437,176,6,384,110.65448093364172,22880,12530,52,55,8
6,388,344,8,511,87.42806229872821,11285,4205,37,61,5
6,544,310,6,640,147.13004394019276,53784,33274,83,81,8
7,176,287,6,2,127.93452196583313,35360,21494,65,68,8
7,238,181,7,129,124.18343553886957,32340,18083,66,70,7
7,393,257,1,257,99.51031612456146,16640,10228,64,65,4
7,446,168,5,384,126.96233757477646,34560,19603,60,64,9
7,362,335,9,512,45.14753084811388,1554,891,21,37,2
7,404,347,10,609,39.08143566969864,1008,608,28,36,1
7,540,312,6,640,155.4999216120614,63495,36881,85,83,9
8,167,313,5,2,136.99359673246096,43416,23858,67,72,9
8,236,161,7,129,120.87028467462787,29820,18281,71,70,6
8,393,263,1,257,102.57264803791529,18224,10156,67,68,4
8,438,155,7,384,122.32804456089958,30912,16642,64,69,7
8,364,342,9,512,44.41921750840942,1480,680,20,37,2
8,435,354,9,609,50.27594446063164,2146,1464,29,37,2
8,548,295,6,640,156.12192792006218,64260,39016,85,84,9
