T,X,Y,Z,Label,Perimeter,Volume,Intensity,ExtentX,ExtentY,ExtentZ
0,450,285,12,1,75.18152692775618,7176,3445,52,46,3
0,208,285,14,512,220.58923969426505,181260,90955,106,114,15
1,495,244,13,1,121.1345241142112,30016,14061,67,64,7
1,197,284,14,512,160.6331594223294,69993,41377,63,101,11
2,496,235,12,1,80.98684483136206,8970,5017,46,39,5
2,190,257,14,512,92.56187543886168,13392,6976,36,62,6
3,491,223,12,1,102.91670353896447,18408,10354,59,39,8
3,216,277,14,513,76.63400612326397,7600,4435,38,40,5
3,157,282,13,644,77.69481897135903,7920,5121,36,44,5
4,517,271,13,2,135.74535212920486,42240,20483,66,64,10
4,444,341,14,257,129.0227171851463,36270,19481,65,62,9
4,241,226,13,513,103.49489939874067,18720,10364,45,52,8
4,163,268,13,644,104.15412035299295,19080,10678,45,53,8
5,519,257,13,2,146.00535484093376,52560,30028,73,72,10
5,404,348,15,257,149.32923561031114,56232,28524,72,71,11
5,263,214,14,513,126.3198718963978,34038,18426,61,62,9
5,155,270,14,644,129.4128377256372,36600,19751,61,60,10
6,549,255,13,2,169.0126695410733,81528,41219,86,79,12
6,382,378,16,257,162.48819054404706,72446,37103,74,89,11
6,283,202,14,513,149.9884487792912,56980,28690,70,74,11
6,128,270,13,644,147.91370742484736,54648,27925,69,72,11
7,568,246,13,2,181.2919149067336,100620,51532,90,86,13
7,325,411,15,257,177.1249191260234,93840,45628,85,92,12
7,304,189,13,513,159.96252165431966,69120,35937,72,80,12
7,103,261,12,644,151.3104608282369,58500,34416,78,75,10
8,573,260,13,2,186.40050674674777,109368,58115,98,93,12
8,311,415,13,257,185.41358947583367,107640,55261,92,90,13
8,326,183,13,513,162.24934598434515,72127,40031,79,83,11
8,94,265,13,644,165.44404818490895,76472,42316,88,79,11
9,574,266,14,2,189.6828782757622,115248,62207,98,98,12
9,306,414,13,257,183.0619120765966,103596,59238,97,89,12
9,328,172,14,513,178.55725828905815,96135,46459,85,87,13
9,109,266,12,644,172.4419487451344,86592,43238,88,82,12
10,559,273,14,2,200.36111226015453,135828,63707,98,99,14
10,318,403,12,257,197.39422179988094,129883,67757,97,103,13
10,329,158,14,513,177.1249191260234,93840,50170,85,92,12
10,129,262,13,644,173.73855343601312,88560,45367,90,82,12
11,550,275,14,2,205.7103344020761,147000,77012,100,105,14
11,324,371,13,257,209.0832344454354,154350,79087,98,105,15
11,348,145,14,513,195.5590436531465,126294,61090,93,97,14
11,138,266,13,644,177.81682036608504,94944,50064,92,86,12
12,540,293,13,2,207.72799190447705,151368,72240,102,106,14
12,320,371,14,257,201.28176875232685,137709,67523,99,107,13
12,355,138,14,513,199.00269006984047,133084,64961,97,98,14
12,144,266,12,644,174.02646322974928,89001,49296,93,87,11
13,524,317,15,2,112.09460660859914,23785,14519,67,71,5
13,319,347,15,257,130.23616082086548,37303,17362,73,73,7
13,366,127,15,513,200.07107954877557,135239,67239,103,101,13
13,143,262,12,644,179.8608708864423,98256,49521,92,89,12
14,525,303,11,3,97.76145332113074,15778,7778,46,49,7
14,517,314,16,130,94.82827037359938,14400,7245,48,50,6
14,321,343,13,257,118.62377835002948,28188,15876,54,58,9
14,367,128,15,513,119.72452581473215,28980,15670,46,70,9
14,152,267,11,644,177.7643648131841,94860,49285,85,93,12
15,556,263,10,3,100.51673501247079,17150,9174,49,50,7
15,537,320,17,130,100.55969756375187,17172,8979,54,53,6
15,332,349,10,258,88.03076817538248,11520,7132,48,48,5
15,300,337,17,385,89.59234790794609,12144,6872,44,46,6
15,162,250,11,644,177.81682036608504,94944,52202,86,92,12
16,557,246,10,3,118.78627687968579,28304,16357,61,58,8
16,530,315,18,130,117.47361388510434,27376,15579,58,59,8
16,342,354,9,258,122.70677157341777,31200,16834,60,65,8
16,296,335,18,385,106.52352232928088,20412,11530,54,63,6
16,363,147,16,514,90.76711316624159,12628,7203,41,44,7
16,294,170,13,613,83.5247846796402,9840,5819,41,48,5
16,141,274,12,644,183.74498524119764,104760,55577,90,97,12
17,569,250,10,3,138.51642726993398,44880,24680,68,66,10
17,512,320,20,130,131.02966151483514,37989,21953,63,67,9
17,359,345,8,258,130.32106055861368,37376,20368,64,73,8
17,304,310,19,385,116.63806914863368,26796,15728,58,66,7
17,363,145,14,514,107.53671446975031,21000,12208,50,60,7
17,277,182,11,613,109.15101464719694,21960,12620,45,61,8
17,149,285,12,644,117.98914295551761,27738,13415,67,46,9
18,590,246,10,3,145.29820591669716,51800,28537,74,70,10
18,492,343,22,130,140.28387541481402,46620,28229,70,74,9
18,369,328,6,258,136.02756781085836,42504,25230,69,77,8
18,297,292,20,385,129.83575850218713,36960,20420,66,70,8
18,381,135,15,514,131.73977957929344,38610,21433,65,66,9
18,257,186,10,613,127.00640642162499,34596,19242,62,62,9
18,173,324,11,645,102.90179239654498,18400,8873,50,46,8
18,145,280,10,706,94.93351826283948,14448,8315,48,43,7
19,605,241,10,3,156.2125779203523,64372,34386,76,77,11
19,491,360,22,130,160.2535900507157,69498,34971,78,81,11
19,389,312,6,258,144.72749024906705,51192,28682,72,79,9
19,300,286,21,385,137.03145072630036,43452,24086,68,71,9
19,408,115,16,514,147.2357434655928,53900,28776,70,70,11
19,238,189,11,613,132.24961352825434,39060,22352,62,70,9
19,179,328,12,645,88.75832817895213,11808,6806,48,41,6
19,135,248,12,706,91.49913762691469,12936,7279,44,42,7
20,608,242,11,3,167.0495693592804,78720,39671,80,82,12
20,474,361,21,130,167.0580572191273,78732,40069,81,81,12
20,398,319,6,258,154.5347474784077,62320,32551,76,82,10
20,286,275,21,385,140.2387245023247,46575,27802,69,75,9
20,435,112,17,514,152.7833170970953,60225,33023,75,73,11
20,223,188,10,613,142.59275772824572,48960,25927,68,72,10
20,174,334,11,645,113.80124097405461,24888,13090,61,51,8
20,132,232,11,706,116.54222845703853,26730,14200,55,54,9
21,605,231,12,3,173.17170257659095,87696,47519,84,87,12
21,464,360,21,130,175.209203644737,90828,47261,87,87,12
21,400,322,6,258,162.27408665962713,72160,36771,82,88,10
21,273,256,21,385,147.88122033673352,54612,30571,74,82,9
21,442,110,17,514,163.60050701711913,73944,38549,79,78,12
21,223,181,10,613,153.45935827824238,61028,32194,73,76,11
21,181,338,11,645,128.32528346993533,35685,18980,65,61,9
21,119,197,11,706,126.82994713717844,34452,18734,66,58,9
22,609,219,13,3,177.2003877841224,93960,47815,87,90,12
22,461,367,21,130,175.83199041073948,91800,45610,85,90,12
22,404,329,6,258,156.62323030511254,64881,37691,81,89,9
22,266,249,20,385,160.86843351824493,70301,35647,77,83,11
22,448,120,17,514,166.3677267938701,77760,39487,81,80,12
22,230,184,9,613,149.9884487792912,56980,31314,74,77,10
22,180,356,10,645,136.4275010321753,42880,22490,64,67,10
22,107,197,10,706,129.34208164935336,36540,21122,63,58,10
23,596,197,14,3,185.42105349055433,107653,56123,91,91,13
23,459,374,21,130,179.8608708864423,98256,51940,92,89,12
23,404,321,6,258,166.13919940896338,77440,42401,88,88,10
23,251,266,21,385,156.5580249560674,64800,33921,81,80,10
23,426,124,16,514,166.26496720824878,77616,42478,84,84,11
23,229,191,9,613,158.21552137761373,66880,34588,76,80,11
23,183,381,10,645,141.92952601159166,48280,26196,71,68,10
23,102,218,10,706,135.0346304570366,41580,23000,66,63,10
24,594,190,15,3,181.19817553381333,100464,54734,91,92,12
24,452,360,21,130,178.53310934931426,96096,49018,88,91,12
24,415,310,6,258,169.8871161371249,82800,43382,92,90,10
24,237,260,19,385,161.65706896494288,71340,37429,82,87,10
24,402,119,17,514,176.4643431491178,92794,45743,86,83,13
24,230,203,8,613,152.59281401037123,60000,34314,75,80,10
24,190,382,9,645,146.66902466559432,53280,27661,74,72,10
24,105,226,10,706,140.1272277686008,46464,24385,66,64,11
25,596,188,15,3,197.4468936203455,129987,58731,101,99,13
25,444,362,21,130,178.5033786061585,96048,49385,87,92,12
25,425,300,6,258,171.07565149691908,84550,44256,95,89,10
25,233,266,19,385,170.8054427131148,84150,40629,85,90,11
25,396,118,18,514,176.54164420266713,92916,48129,89,87,12
25,223,195,8,613,160.86843351824493,70301,35327,77,83,11
25,203,390,9,645,149.33631685252638,56240,29624,74,76,10
25,104,238,10,706,137.13439189500062,43550,24208,65,67,10
26,583,195,16,3,128.65407884125682,35960,15135,58,62,10
26,444,356,20,130,132.77794313620097,39530,15397,67,59,10
26,430,302,6,258,171.713999394243,85500,40992,95,90,10
26,234,272,18,385,168.23654956116604,80410,37116,85,86,11
26,389,126,17,514,169.45514557947905,82170,44894,90,83,11
26,235,193,8,613,159.52314696903125,68552,35670,76,82,11
26,209,392,9,645,148.01468721453637,54760,29200,74,74,10
26,103,236,10,706,137.14488740949858,43560,25052,66,66,10
27,594,229,16,4,104.6431140022173,19350,9245,50,43,9
27,564,186,15,67,98.60913828323159,16192,8590,44,46,8
27,428,327,20,131,96.3235760211741,15092,6956,44,49,7
27,413,363,17,194,95.7090787267441,14805,7864,45,47,7
27,437,290,6,258,111.00801202863222,23100,9638,55,60,7
27,234,278,18,385,106.66944514503577,20496,11271,61,48,7
27,384,131,17,514,173.4004633479336,88044,43068,92,87,11
27,239,198,8,613,153.26801224652792,60800,35144,80,76,10
27,225,397,9,645,149.34516746102528,56250,30587,75,75,10
27,105,236,10,706,135.0346304570366,41580,22880,63,66,10
28,615,253,17,4,100.48937607399021,17136,9130,51,48,7
28,576,181,16,67,99.15823422401269,16464,8703,49,42,8
28,433,330,20,131,89.54806102583734,12126,7312,43,47,6
28,402,387,16,194,90.23691933520816,12408,7277,44,47,6
28,483,316,7,259,85.57894776487123,10584,6053,42,42,6
28,431,278,7,322,91.49913762691469,12936,6546,44,42,7
28,249,305,20,386,83.94706073805588,9990,5290,45,37,6
28,235,251,16,449,86.2209743725672,10824,6354,44,41,6
28,387,156,17,514,104.06670602711505,19032,9115,39,61,8
28,242,178,8,613,156.85944661850343,65175,32411,79,75,11
28,220,374,8,645,151.32770222091443,58520,30598,77,76,10
28,101,244,11,706,140.83139651691755,47168,26176,64,67,11
29,620,252,15,4,112.43134665607634,24000,13786,50,60,8
29,570,179,15,67,116.46369593429691,26676,14359,57,52,9
29,461,345,20,131,111.72104972024503,23548,11370,58,58,7
29,416,393,14,194,110.1492022915815,22568,12281,52,62,7
29,491,306,6,259,99.07384419667203,16422,8729,46,51,7
29,418,259,6,322,90.9154178893703,12690,7619,45,47,6
29,229,261,18,449,96.73876898044767,15288,8205,52,49,6
29,425,144,18,515,85.51421328648851,10560,5644,40,44,6
29,370,170,18,564,86.15720143926067,10800,5738,40,45,6
29,234,181,10,613,106.92903305943226,20646,10945,37,62,9
29,230,363,7,645,148.01108316556332,54756,29654,78,78,9
29,101,267,11,706,140.83139651691755,47168,24576,64,67,11
30,629,259,15,4,130.11618217787938,37200,19250,62,60,10
30,574,178,13,67,122.70677157341777,31200,17596,65,60,8
30,468,325,21,131,120.70793352600366,29700,15022,55,60,9
30,422,372,12,194,119.37648743888086,28728,17256,57,63,8
30,485,301,6,259,109.09133666119058,21924,12499,54,58,7
30,406,244,6,322,104.53845638286505,19292,10995,53,52,7
30,286,333,21,386,113.39742672330526,24624,11595,57,54,8
30,210,256,19,449,105.38414596080226,19764,11866,54,61,6
30,429,147,16,515,98.73483780196746,16254,8446,43,54,7
30,362,184,19,564,92.86499776618558,13524,6995,42,46,7
30,246,182,11,614,81.93278817568498,9288,5686,36,43,6
30,195,205,11,629,91.44959828987476,12915,6630,41,45,7
30,252,351,7,645,150.49912909163461,57564,30142,78,82,9
30,100,295,11,706,137.1028957083405,43520,24750,68,64,10
31,644,267,16,4,117.7931473405912,27600,13470,46,60,10
31,563,182,10,67,129.62816730364796,36783,20418,67,61,9
31,475,302,22,131,123.16650832241989,31552,12881,58,68,8
31,426,381,12,194,131.02966151483514,37989,20508,63,67,9
31,493,335,5,259,116.75982087497064,26880,15427,60,64,7
31,385,247,7,322,111.70997836453681,23541,15103,57,59,7
31,297,340,22,386,120.75668471608834,29736,15982,59,63,8
31,188,233,17,449,136.7153593409568,43152,18433,58,62,12
31,439,145,15,515,107.90415484574781,21216,12628,52,51,8
31,354,177,19,564,105.20432437610077,19663,10600,53,53,7
31,236,192,10,614,101.59909800836786,17710,9236,46,55,7
31,170,229,9,629,103.55567800933584,18753,9189,47,57,7
